booking_id,guest_id,room_id,check_in,check_out,status
44,20,9,2025-09-17,2025-09-19,cancelled
45,20,65,2026-03-18,2026-03-27,cancelled
46,45,98,2025-11-09,2025-11-17,checked_in
47,73,91,2026-02-11,2026-02-13,checked_in
48,18,31,2026-04-26,2026-04-29,checked_out
49,15,77,2025-10-14,2025-10-17,checked_out
50,28,20,2026-06-17,2026-06-18,confirmed
51,53,39,2025-10-13,2025-10-17,cancelled
52,41,61,2026-01-06,2026-01-12,checked_out
53,54,81,2025-12-22,2025-12-30,cancelled
54,28,78,2025-08-10,2025-08-12,checked_in
55,22,23,2025-07-17,2025-07-20,confirmed
56,9,49,2025-07-27,2025-08-02,checked_in
57,3,63,2025-08-21,2025-08-22,confirmed
58,35,20,2026-01-03,2026-01-09,checked_in
59,30,99,2025-12-15,2025-12-19,checked_in
60,8,83,2026-01-26,2026-01-29,cancelled
61,63,16,2026-03-11,2026-03-15,checked_in
62,49,8,2025-06-06,2025-06-13,checked_out
63,32,32,2025-07-29,2025-08-03,confirmed
64,7,38,2026-03-02,2026-03-07,checked_in
65,7,73,2026-04-25,2026-05-01,cancelled
66,48,65,2025-10-29,2025-10-31,checked_out
67,30,24,2026-01-19,2026-01-22,cancelled
68,41,48,2026-06-05,2026-06-06,cancelled
69,10,12,2025-10-13,2025-10-21,checked_in
70,47,52,2025-08-31,2025-09-12,checked_in
71,55,44,2025-07-25,2025-07-28,cancelled
72,63,82,2025-10-31,2025-11-07,confirmed
73,61,8,2026-02-15,2026-02-22,cancelled
74,27,67,2025-08-18,2025-08-22,confirmed
75,27,40,2025-08-22,2025-08-25,checked_out
76,52,59,2026-02-27,2026-03-03,checked_in
77,31,100,2026-04-03,2026-04-12,confirmed
78,67,70,2025-06-10,2025-06-12,checked_out
79,67,28,2025-12-03,2025-12-04,confirmed
80,21,30,2025-11-05,2025-11-13,checked_out
81,60,94,2025-10-02,2025-10-04,cancelled
82,3,45,2025-07-11,2025-07-19,confirmed
83,11,73,2026-02-04,2026-02-05,checked_in
84,62,78,2026-02-28,2026-03-07,confirmed
85,11,2,2025-08-05,2025-08-11,checked_out
86,26,81,2026-03-09,2026-03-14,confirmed
87,60,86,2026-02-26,2026-02-27,checked_out
88,46,75,2026-01-03,2026-01-10,checked_out
89,78,33,2026-03-04,2026-03-15,checked_out
90,54,26,2026-05-20,2026-05-26,checked_out
91,75,51,2025-11-07,2025-11-09,checked_out
92,32,7,2026-05-10,2026-05-13,checked_in
93,79,91,2026-01-11,2026-01-16,checked_out
94,17,44,2026-01-18,2026-01-26,confirmed
95,52,24,2025-09-24,2025-09-25,checked_in
96,15,38,2025-06-11,2025-06-12,checked_out
97,27,36,2025-09-26,2025-09-30,cancelled
98,27,35,2025-06-04,2025-06-08,cancelled
99,17,77,2026-04-20,2026-04-21,confirmed
100,8,2,2025-07-05,2025-07-06,cancelled
101,69,79,2025-11-17,2025-11-25,checked_in
102,30,57,2025-09-30,2025-10-01,checked_in
103,27,26,2026-02-04,2026-02-06,confirmed
104,42,98,2025-08-07,2025-08-09,checked_in
105,39,24,2026-03-20,2026-03-25,checked_out
106,14,15,2025-10-03,2025-10-07,checked_out
107,70,78,2025-12-26,2026-01-01,cancelled
108,7,3,2025-07-20,2025-07-21,checked_in
109,45,19,2025-11-29,2025-12-04,cancelled
110,58,68,2026-01-26,2026-01-29,confirmed
111,18,88,2025-06-28,2025-07-05,cancelled
112,68,40,2026-04-27,2026-05-02,checked_in
113,46,90,2025-12-24,2025-12-25,checked_in
114,43,49,2025-07-26,2025-07-31,checked_in
115,2,64,2025-09-06,2025-09-08,checked_out
116,40,8,2025-08-11,2025-08-15,confirmed
117,9,55,2025-10-21,2025-10-24,checked_in
118,2,84,2025-07-09,2025-07-12,checked_out
119,71,31,2026-03-09,2026-03-12,checked_out
120,24,54,2026-04-30,2026-05-01,checked_in
